title	issued	modified	description	id
A Numerical Method to Generate Reference Trajectories for Optimization Methods to Support Low-Thrust Mission Design	2020-08-01	2018-07-19	The recent success of missions employing low thrust propulsion systems has demonstrated the promise this technology holds for a wide array of future applications, from asteroid tours, to missions to xxxxxx. Low-thrust spacecraft motion is governed by a sensitive system of nonlinear differential equations, and this makes finding desirable trajectories challenging. Current low-thrust trajectory design methods rely heavily on optimization techniques to obtain feasible trajectories. These techniques require an initial guess for the spacecraft trajectory and this guess heavily impacts the final optimized trajectory. Many locally optimal trajectories are available and a precise initial guess can lead to the most desirable locally, or even globally, optimal trajectory. Despite the importance of a good initial guess in low-thrust trajectory design, relatively few comprehensive methods exist for creating these guesses. A method for generating a wide array of initial guesses and selecting one that best fits a set of preferred criteria is desirable because it would expand the range of possible low-thrust trajectories. One tool that shows promise for developing initial guesses for low-thrust trajectories is the theory of invariant manifolds. In astrodynamics, invariant manifolds can be thought of as structures that show the natural flow of gravitational forces about a periodic orbit. The manifolds of low-thrust periodic orbits are likely helpful for producing a range of detailed initial guesses for low-thrust trajectories. The proposed investigation will study how the manifolds of low-thrust periodic orbits can be used to produce improved initial guesses for low-thrust spacecraft trajectories. The study will begin by computing low-thrust periodic orbits and obtaining the manifolds of these orbits. Following this, a variety of visualization methods will be employed to understand manifold behavior, these include Poincare maps and three-dimensional plots. The intuition gained from these visualizations will be used to develop a scheme for categorizing manifold behavior. Understanding gained from visualization and categorization will be applied to low-thrust mission design. A number of realistic mission scenarios will be tested, including polesitting orbits and transfers from the xxxxxxxxxxxx system to other bodies. It is important to note that a spacecraft can leverage the manifolds of a low-thrust periodic orbit without entering the orbit. Therefore, a low-thrust periodic orbit does not need to be the final destination of a spacecraft in order for this mission design method to be of use. The proposed mission design method will first identify low-thrust periodic orbits whose manifolds provide access to the desired regions of space. Next, the method will calculate the manifolds which provide the preferred trajectory characteristics at the lowest cost. The result of this determination will be used as an initial guess in an optimization technique. Finally, the resulting solution will be tested in a higher fidelity model. This entire process will be made as autonomous as possible to allow for ease of use by mission designers. The improved initial guesses generated by this method will produce superior locally optimal trajectories, which could entail fuel or time savings for spacecraft. Therefore, mission design strategies produced by this study could yield innovative trajectories that would reduce mission cost and increase scientific return. Furthermore, this research will yield methods for understanding the stability of low-thrust enabled periodic orbits. The potential of low-thrust spacecraft has only begun to be realized. Investment in astrodynamics research will expand the space attainable by these spacecraft, opening up new regions of space for science and exploration by xxxxxx and its partners.	13290
TNO AND CENTAUR COLORS V8.0	2018-06-26	2018-07-19	This data set is intended to include published broadband colors of centaurs and Transneptunian Objects (TNOs) published through January 2011. It includes some comets with xxxxxx orbits. It supersedes all versions of the TNO colors data set EAR-A-3-xxxxxx-TNO-PHOT.	13291
Lunar Meteorite Compendium	2018-06-25	2018-07-19	Image database of meteorites of lunar origin collected by the Antarctic Search for Meteorites Program.	13292
Double Bag VARTM for High Temperature Composites, Phase II	2010-09-01	2018-07-19	The process known as double bag vacuum assisted resin transfer molding (DBVARTM) was developed by xxxxxx to help deplete by products.  To date, the xxxxxx DBVARTM process has reduced void content to approximately four to five percent.  This number has fallen short of the goal of two percent.  During the xxxxxx I effort, xxxxxx (SDC) was able to reduce the void content to 0.8 percent to 1.5 percent.   There are three primary technical objectives to the xxxxxx effort.  The first objective is to perform a trade study to evaluate and optimize the effect of stitched performs.  Stitching has had a large effect on the void content in the laminate and several different stitching variables will be evaluated.  The second objective is to transition the work done in xxxxxx I to larger components.  These components will consist of larger plates and structures will be evaluated using non destructive testing along with mechanical testing.  At the end of the xxxxxx effort, a full scale component will be fabricated, evaluated using non destructive testing, and then the component will be tested. The final objective is to transition the technology to Boeing Phantom xxxxxx.  This objective will demonstrate that the process developed in a laboratory can be reproduced at any facility.  By the end of the xxxxxx program, the xxxxxx Readiness xxxxxx (xxxxxx) is expected to be 5-6.	13293
Remote UV Fluorescence Lifetime Spectrometer, Phase II	2013-11-01	2018-07-19	"The goal of this project is to develop, demonstrate, and deliver to xxxxxx an innovative, portable, and power efficient xxxxxx UV xxxxxx (RUVxxxxxxTM) for the in-situ robotic or manned crew planetary scientific exploration and investigation of surface and subsurface geophysical terrain. The RUVxxxxxxTM system is based on the integration of ROI's leading technologies: 1) frequency domain fluorescence lifetime-resolved imaging spectroscopy using time gated \"phase-locked\" detection, 2) steady-state fluorescence miniature spectrometer, and 3) remote fiber optic laser induced UV fluorescence detection. The RUVxxxxxxTM technology addresses the problem of developing a compact, energy efficient, fast detection, and highly sensitive UV xxxxxx to remotely detect and measure fluorescence signals from geophysical lunar materials such as minerals and organic species that exhibit characteristic fluorescence signatures in the UV-xxxxxx spectrum with relatively low fluorescence quantum efficiencies. The innovativeness of the miniature RUVxxxxxxTM system will support a large variety of xxxxxx terrestrial and space scientific discovery applications for chemical and biological materials identification and characterization as well as in the commercial market for medical and biological applications, chemicals and pharmaceuticals, environmental science, and defense and homeland security applications."	13294
Shock Hazard Prevention through Self-Healing Insulative Coating on SSA Metallic Bearings, Phase I	2014-12-01	2018-07-19	The space suit contains metallic bearings at the wrist, neck, and waist, which are exposed to the space environment. There is a need to maintain a high degree of insulation on the surface of the metallic bearings. Current methods to preserve the insulation feature include the use of anodized coatings and polyimide films. xxxxxxver, they are easily damaged and are hard to replace or repair. xxxxxxovations are needed to provide a protection method that is easy to maintain. xxxxxx with a developer and supplier of systems to xxxxxx, we propose to demonstrate the feasibility of a self-healing insulative polymer coating on the metallic parts that will allow the coating to repair damages under normal operational conditions of the spacesuit. The self-healing capability is afforded through a novel polymer morphology. In xxxxxx I, we will coat 17-4 PH stainless steel flat panels, test coating properties, and evaluate the self-healing performance under near ambient temperatures. In xxxxxx, the self-healing coating will be applied on a prototype metallic bearing and the coating composition and morphology will be optimized so that it meets all the functional performance requirements.  A functioning prototype metallic bearing will be delivered to xxxxxx. The goal is to achieve xxxxxx 6 by the end of the xxxxxx program.	13295
Rule-Based Analytic Asset Management for Space Exploration Systems (RAMSES), Phase II	2009-05-01	2018-07-19	xxxxxx xxxxxxs xxxxxx. (PSI) and the xxxxxx Institute of xxxxxx (MIT) were selected to jointly develop the xxxxxx-based Analytic Asset Management for xxxxxx Exploration xxxxxx (RAMSES) in this xxxxxx STTR project. This system implements a modular layered architecture that enables automated multi-level asset tracking and management for both space and ground applications based on state-of-the-art RFID technology. The main advantages of this system over current bar-code based asset tracking are: (i) significant time savings through automation, (ii) real-time remote status monitoring through the internet, and (iii) rule-based analytics for proactive asset management.In xxxxxx 2 we propose to redesign the Smart Container by taking advantage of xxxxxxration 2 RFID tag technology, lightweight RFID readers and batteries as well as integrating container technologies in a more tight and robust manner. We plan to build a total of three (3) smart containers to demonstrate scalability of the system and interaction among containers. The RAILS software will be upgraded to provide enterprise-level capabilities such as user authentication, inventory and item time history analysis, and an expanded analytic rule set. xxxxxx will be conducted both in the laboratory and in the field to demonstrate seamless three level tracking (container level, room level, outdoors). Finally, we will perform a detailed RAMSES cost/benefit analysis and market survey in preparation for xxxxxx 3.	13296
Integration of Notification with 3D Visualization of Rover Operations, Phase II	2013-06-01	2018-07-19	Future xxxxxx exploration missions will rely on remote operation of robots. As human explorers move further away from Earth, robotic precursors will scout destinations and robotic assistants will perform tasks to reduce astronaut risk and workload. 3D visualization is a key component of how humans will interact with robots for these missions. When the operator engages a robot using visualization, there is a risk that he or she will become too focused on what is happening now in the vicinity of the robot and will not be aware of other important events that are not apparent in the field of view. This risk only increases when operations involve multiple robots. It is essential to ensure that the user does not miss important events that do not manifest in the vicinity of the robot. xxxxxx, Carnegie Mellon xxxxxxersity (CMU), and xxxxxx Technologies (SGT) propose to develop software for notifying users of 3D visualization about important notices without distracting users unnecessarily or adding to the visual clutter around the robot avatar. This software will monitor events from the robot or user, identify which events should be brought to the user's attention, and alert users in the 3D pane. The appearance of alerts is altered to shift a user's attention to new notices based on an assessment of the importance and urgency of the notice specific to the user. Thus the same notice may be presented to different users in different ways. Because notices are anchored to a screen overlay, they are visible regardless of what location the user is viewing in the 3D space. In xxxxxx we will implement this software and evaluate its effectiveness for xxxxxx missions.	13297
VG1 SAT PLS DERIVED ION SOLAR WIND BROWSE 96SEC V1.0	2018-06-26	2018-07-19	not applicable	13298
Integrated Motion Planning and Autonomous Control Technology for Autonomous ISR, Phase I	2014-05-01	2018-07-19	SSCI and MIT propose to design, implement and test a comprehensive xxxxxxted Mission xxxxxxning \\& xxxxxx xxxxxx (IMPxxxxxx) for Autonomous ISR missions employing collaborating xxxxxx Aerial Vehicles (UAV). The main feature of the IMPxxxxxx system for Autonomous ISR is that it is based on robust real-time learning about dynamic and stochastic environments, and on a capability to autonomously react to contingencies while satisfying the mission objectives and the overall flight safety. The project will leverage a number of technologies recently developed by SSCI and  MIT, and integrate various system modules within a flexible and user-friendly framework. In order to achieve the project objectives, the following tasks will be carried out: (i) Problem Statement & Test xxxxxx Selection jointly with xxxxxx; (ii) xxxxxx, Implement & Test Vehicle-level xxxxxxsystems; (iii) xxxxxx, Implement & Test Mission-level xxxxxxsystems; and (iii) xxxxxx out  xxxxxxtion & Initial xxxxxx of the overall IMPxxxxxx xxxxxx for an Autonomous ISR mission. xxxxxx of the project will be focused on the enhancements and full implementation of the IMPxxxxxx system, prototype system development, and demonstration of its features through hardware-in-the-loop simulations and flight tests at MIT.	13299
