topic,sub_topic,dataset_id,topic_confidence,sub_topic_confidence
5,2,12289,0.87490624,0.98511034
0,0,12290,0.43440974,0.79410446
6,2,12291,0.39472556,0.8306484
7,0,12292,0.82491994,0.7911781
6,2,12293,0.59039587,0.9919508
2,2,12294,0.7779287,0.995354
7,2,12295,0.8248984,0.954035
3,2,12296,0.42318913,0.9178827
0,2,12297,0.5336037,0.99104124
1,2,12298,0.85383075,0.99229383
6,2,12299,0.38470516,0.9903715
3,2,12300,0.5462168,0.9938272
4,0,12301,0.4685326,0.33333334
4,2,12302,0.36264637,0.99012375
7,2,12303,0.33336854,0.98207444
4,2,12304,0.85405743,0.9913694
5,2,12305,0.52058065,0.8462106
0,2,12306,0.3852501,0.99507195
4,2,12307,0.63459134,0.9787439
5,2,12308,0.43488684,0.9674134
3,2,12309,0.6331105,0.9311438
0,2,12310,0.38158944,0.9047797
7,2,12311,0.5078873,0.9914025
7,2,12312,0.87480974,0.9929699
2,2,12313,0.6935233,0.9830178
5,2,12314,0.6432627,0.9889284
4,2,12315,0.50525546,0.96497875
1,1,12316,0.8249878,0.94920784
5,0,12317,0.36720362,0.69176745
6,0,12318,0.5690668,0.8387012
2,2,12319,0.62538606,0.9554693
6,2,12320,0.5423631,0.8072147
4,2,12321,0.30627188,0.9914038
7,2,12322,0.79869473,0.9944954
0,2,12323,0.53113323,0.99250317
6,1,12324,0.8249506,0.57209104
3,2,12325,0.8733677,0.8554243
5,2,12326,0.89055395,0.99244475
0,2,12327,0.37656552,0.99548763
0,2,12328,0.43030977,0.9935595
4,2,12329,0.4102121,0.9584673
0,2,12330,0.4775633,0.96951073
5,2,12331,0.6420228,0.9940019
3,0,12332,0.8246692,0.5806391
2,2,12333,0.4250415,0.9459313
3,2,12334,0.7082982,0.77763003
4,2,12335,0.82494694,0.98350835
1,2,12336,0.47229823,0.99213433
4,2,12337,0.52616245,0.8770411
7,2,12338,0.4144958,0.9847327
1,1,12339,0.85413986,0.91669923
0,2,12340,0.4940151,0.8375644
2,2,12341,0.44704428,0.9942449
5,0,12342,0.82492673,0.89805526
2,2,12343,0.6435997,0.9938045
2,0,12344,0.7082259,0.87962943
4,2,12345,0.8541298,0.98847806
2,2,12346,0.45500854,0.5281472
4,2,12347,0.707925,0.9930918
5,2,12348,0.7664592,0.9932067
5,2,12349,0.4252464,0.9931684
5,2,12350,0.7812133,0.9799513
0,0,12351,0.78113914,0.9710087
6,0,12352,0.43108618,0.33333334
3,2,12353,0.8904833,0.9003187
3,0,12354,0.87496424,0.7696456
3,2,12355,0.69115275,0.9920758
4,2,12356,0.5464656,0.9919038
7,1,12357,0.40008408,0.66601205
0,2,12358,0.839546,0.87769604
4,2,12359,0.8249069,0.99191743
1,1,12360,0.6249684,0.9436102
5,2,12361,0.39189705,0.9778067
1,0,12362,0.4013084,0.82515275
2,2,12363,0.4717762,0.9499381
0,0,12364,0.4718601,0.73092043
2,2,12365,0.5526503,0.9588854
5,2,12366,0.8540396,0.9921296
1,2,12367,0.41339663,0.93291324
3,2,12368,0.61744857,0.8809342
1,2,12369,0.8748189,0.9135302
6,1,12370,0.8838328,0.7116011
2,1,12371,0.6128898,0.89790267
6,0,12372,0.8904845,0.33333334
5,2,12373,0.53885365,0.99089026
2,2,12374,0.70752203,0.9743504
7,2,12375,0.32308015,0.9908672
0,2,12376,0.5542347,0.9675783
4,2,12377,0.85398895,0.9936066
2,1,12378,0.7083304,0.97570413
6,2,12379,0.6101637,0.5240552
2,2,12380,0.5267992,0.9923827
7,2,12381,0.8540625,0.8898253
6,2,12382,0.37498695,0.9936998
4,2,12383,0.6661041,0.9942485
1,1,12384,0.85406256,0.9334206
4,2,12385,0.8748705,0.9917129
0,1,12386,0.42020607,0.74018556
4,2,12387,0.60684574,0.99228716
2,0,12388,0.70819676,0.9518352
3,2,12389,0.890144,0.94355536
6,2,12390,0.41727644,0.7190864
7,0,12391,0.82485324,0.9682225
4,2,12392,0.68587863,0.8598873
4,2,12393,0.8749314,0.99340266
0,0,12394,0.43489227,0.6414224
5,2,12395,0.8249775,0.97972584
2,1,12396,0.7560628,0.46128857
4,2,12397,0.31875455,0.9376185
6,1,12398,0.6665852,0.9694065
2,2,12399,0.47517648,0.91807747
4,2,12400,0.4983343,0.99257225
6,2,12401,0.6225285,0.91906357
0,0,12402,0.335794,0.33333334
4,2,12403,0.33829245,0.98895055
2,1,12404,0.69261336,0.7775068
3,2,12405,0.6007897,0.82328975
4,2,12406,0.451736,0.9883089
5,2,12407,0.78098595,0.79438925
2,2,12408,0.3808431,0.7246062
7,2,12409,0.3666648,0.6102434
3,2,12410,0.49965262,0.9017054
6,2,12411,0.37467423,0.97141623
4,2,12412,0.8743112,0.99174875
5,2,12413,0.52755606,0.6592016
2,2,12414,0.7076498,0.9819373
1,0,12415,0.6692972,0.98349327
6,0,12416,0.53126436,0.58332396
4,2,12417,0.4808326,0.62634385
5,2,12418,0.46554133,0.98639256
3,0,12419,0.45321494,0.5074092
6,1,12420,0.48197162,0.6156589
7,2,12421,0.45839858,0.98590106
5,2,12422,0.37572172,0.97286326
6,1,12423,0.12501761,0.8261771
6,1,12424,0.575461,0.952993
4,0,12425,0.45230186,0.33333334
5,2,12426,0.38192055,0.99190617
6,1,12427,0.85414267,0.9017809
7,2,12428,0.48069292,0.99509424
4,2,12429,0.6077031,0.9660056
2,0,12430,0.82491,0.61284065
7,2,12431,0.7811033,0.99077773
0,0,12432,0.90276587,0.33333334
5,2,12433,0.68320066,0.99390244
5,1,12434,0.62296116,0.74055195
6,2,12435,0.30587626,0.9901854
6,0,12436,0.40845248,0.7195462
0,0,12437,0.4409626,0.48445782
4,2,12438,0.3749909,0.875489
0,0,12439,0.763825,0.33333334
2,2,12440,0.874934,0.8585066
7,2,12441,0.5380796,0.86593175
7,2,12442,0.90275687,0.9878574
4,2,12443,0.555279,0.63539046
3,0,12444,0.7083223,0.5655629
6,2,12445,0.5151486,0.98787504
4,2,12446,0.5408751,0.9388843
7,2,12447,0.52116644,0.9845275
4,2,12448,0.43654025,0.9780244
2,1,12449,0.7083304,0.9757023
2,2,12450,0.5879062,0.9811857
3,2,12451,0.5900304,0.99236685
4,2,12452,0.48849383,0.8267016
4,2,12453,0.7047992,0.99274945
7,2,12454,0.4157258,0.96663743
4,2,12455,0.6909605,0.9643649
4,2,12456,0.6875056,0.9914164
2,2,12457,0.48147705,0.98707485
4,2,12458,0.6909459,0.9808824
3,2,12459,0.79284835,0.9935851
2,0,12460,0.6260524,0.7546108
3,2,12461,0.5205509,0.9914759
4,2,12462,0.9116573,0.97309434
4,2,12463,0.49175474,0.992585
1,0,12464,0.854112,0.98135006
5,2,12465,0.66674,0.9937964
5,2,12466,0.45726162,0.9867642
2,1,12467,0.85409534,0.94133246
2,1,12468,0.53109443,0.7714426
6,2,12469,0.87477404,0.98568934
4,0,12470,0.70819217,0.9669205
7,0,12471,0.824852,0.96822715
5,2,12472,0.62968796,0.9916087
1,2,12473,0.36231408,0.9969093
0,0,12474,0.7812424,0.5602404
5,2,12475,0.76435953,0.991136
4,2,12476,0.34648627,0.9850516
6,2,12477,0.7537931,0.7861732
4,2,12478,0.5312689,0.9920952
6,2,12479,0.6231886,0.9913454
5,2,12480,0.80012023,0.9608638
3,2,12481,0.59117293,0.99016446
1,2,12482,0.8008083,0.99190027
2,0,12483,0.12637705,0.527544
2,2,12484,0.7040318,0.73575383
