topic,sub_topic,dataset_id,topic_confidence
5,"['completed', 'jet-propulsion-labo...']",12289,0.87490624
0,"['mars', 'phoenix']",12290,0.43440974
6,"['completed', 'langley-research-ce...']",12291,0.39472556
7,"['aerosols', 'clouds', 'earth-science', 'inversions', 'precipitable-water', 'radiation', 'satellite']",12292,0.82491994
6,"['ames-research-center', 'completed']",12293,0.59039587
2,"['completed', 'kennedy-space-center']",12294,0.7779287
7,"['completed', 'jet-propulsion-labo...']",12295,0.8248984
3,"['completed', 'goddard-space-fligh...']",12296,0.42318913
0,"['completed', 'johnson-space-center']",12297,0.5336037
1,"['completed', 'goddard-space-fligh...']",12298,0.85383075
6,"['completed', 'johnson-space-center']",12299,0.38470516
3,"['active', 'jet-propulsion-labo...']",12300,0.5462168
4,"['completed', 'nasa-headquarters']",12301,0.4685326
4,"['armstrong-flight-re...', 'completed']",12302,0.36264637
7,"['completed', 'jet-propulsion-labo...']",12303,0.33336854
4,"['ames-research-center', 'completed']",12304,0.85405743
5,"['completed', 'goddard-space-fligh...']",12305,0.52058065
0,"['active', 'university-of-notre...']",12306,0.3852501
4,"['completed', 'marshall-space-flig...']",12307,0.63459134
5,"['completed', 'marshall-space-flig...']",12308,0.43488684
3,"['ames', 'dashlink', 'nasa']",12309,0.6331105
0,"['completed', 'goddard-space-fligh...']",12310,0.38158944
7,"['completed', 'glenn-research-center']",12311,0.5078873
7,"['completed', 'langley-research-ce...']",12312,0.87480974
2,"['nucleic-acid-extrac...', 'weightlessness-simu...']",12313,0.6935233
5,"['active', 'ames-research-center']",12314,0.6432627
4,"['completed', 'glenn-research-center']",12315,0.50525546
1,"['dust', 'new-horizons']",12316,0.8249878
5,"['comet-sl9-jupiter-c...', 'jupiter', 'voyager']",12317,0.36720362
6,"['ames', 'dashlink', 'nasa']",12318,0.5690668
2,"['completed', 'jet-propulsion-labo...']",12319,0.62538606
6,"['library-construction', 'nucleic-acid-extrac...', 'nucleic-acid-sequen...', 'radiation', 'sample-collection', 'sequence-assembly']",12320,0.5423631
4,"['completed', 'marshall-space-flig...']",12321,0.30627188
7,"['active', 'goddard-space-fligh...']",12322,0.79869473
0,"['completed', 'glenn-research-center']",12323,0.53113323
6,"['67p-churyumov-geras...', 'international-roset...']",12324,0.8249506
3,"['ames-research-center', 'completed']",12325,0.8733677
5,"['completed', 'marshall-space-flig...']",12326,0.89055395
0,"['completed', 'johnson-space-center']",12327,0.37656552
0,"['completed', 'johnson-space-center']",12328,0.43030977
4,"['ames-research-center', 'completed']",12329,0.4102121
0,"['completed', 'nasa-headquarters']",12330,0.4775633
5,"['completed', 'glenn-research-center']",12331,0.6420228
3,"['climate', 'earth-science', 'gpm', 'ice', 'nasa', 'precipitation', 'radiance', 'rain', 'snow', 'trmm', 'water', 'water-cycle']",12332,0.8246692
2,"['completed', 'goddard-space-fligh...']",12333,0.4250415
3,"['completed', 'goddard-space-fligh...']",12334,0.7082982
4,"['ames', 'dashlink', 'nasa']",12335,0.82494694
1,"['completed', 'glenn-research-center']",12336,0.47229823
4,"['completed', 'goddard-space-fligh...']",12337,0.52616245
7,"['completed', 'marshall-space-flig...']",12338,0.4144958
1,"['calibration', 'callisto', 'earth', 'ganymede', 'j-rings', 'j1-io', 'j2-europa', 'j6-himalia', 'j7-elara', 'jupiter', 'new-horizons']",12339,0.85413986
0,"['astrophysics', 'gamma-ray-bursts', 'gbm', 'lat', 'light-arcs', 'particle-physics', 'photons', 'pulsars', 'solar-flares', 'space-science']",12340,0.4940151
2,"['completed', 'university-of-color...']",12341,0.44704428
5,"['comet-sl9-jupiter-c...', 'saturn', 'voyager']",12342,0.82492673
2,"['active', 'langley-research-ce...']",12343,0.6435997
2,"['25143-itokawa', 'support-archives']",12344,0.7082259
4,"['completed', 'langley-research-ce...']",12345,0.8541298
2,"['jupiter', 'neptune', 'saturn', 'solar-system', 'uranus', 'voyager']",12346,0.45500854
4,"['completed', 'glenn-research-center']",12347,0.707925
5,"['completed', 'johnson-space-center']",12348,0.7664592
5,"['completed', 'marshall-space-flig...']",12349,0.4252464
5,"['active', 'langley-research-ce...']",12350,0.7812133
0,"['acd', 'balloon', 'bursts', 'cgro', 'compton', 'egret', 'energy', 'fermi', 'gamma', 'gamma-ray', 'glast', 'glast-ssc', 'gro', 'gssc', 'high-energy']",12351,0.78113914
6,"['completed', 'marshall-space-flig...']",12352,0.43108618
3,"['completed', 'glenn-research-center']",12353,0.8904833
3,"['ames', 'dashlink', 'nasa']",12354,0.87496424
3,"['completed', 'johnson-space-center']",12355,0.69115275
4,"['ames-research-center', 'completed']",12356,0.5464656
7,"['eros', 'near-earth-asteroid...']",12357,0.40008408
0,"['completed', 'university-of-hawaii']",12358,0.839546
4,['completed'],12359,0.8249069
1,"['21-lutetia', 'international-roset...']",12360,0.6249684
5,"['ames-research-center', 'completed']",12361,0.39189705
1,"['completed', 'stennis-space-center']",12362,0.4013084
2,"['completed', 'marshall-space-flig...']",12363,0.4717762
0,"['asteroid', 'support-archives']",12364,0.4718601
2,"['completed', 'jet-propulsion-labo...']",12365,0.5526503
5,"['active', 'stennis-space-center']",12366,0.8540396
1,"['completed', 'langley-research-ce...']",12367,0.41339663
3,"['completed', 'nasa-headquarters']",12368,0.61744857
1,"['completed', 'jet-propulsion-labo...']",12369,0.8748189
6,"['cassini-huygens', 'saturn']",12370,0.8838328
2,"['calibration', 'earth', 'lunar-crater-observ...', 'moon', 'test-image']",12371,0.6128898
6,"['mars', 'mars-exploration-rover']",12372,0.8904845
5,"['completed', 'goddard-space-fligh...']",12373,0.53885365
2,"['completed', 'goddard-space-fligh...']",12374,0.70752203
7,"['completed', 'dryden-flight-resea...']",12375,0.32308015
0,"['active', 'ames-research-center']",12376,0.5542347
4,"['completed', 'glenn-research-center']",12377,0.85398895
2,"['geography', 'nen', 'space-science', 'wise']",12378,0.7083304
6,"['ames', 'dashlink', 'nasa']",12379,0.6101637
2,"['ames-research-center', 'completed']",12380,0.5267992
7,"['completed', 'langley-research-ce...']",12381,0.8540625
6,"['ames-research-center', 'completed']",12382,0.37498695
4,"['completed', 'jet-propulsion-labo...']",12383,0.6661041
1,"['calibration', 'callisto', 'earth', 'ganymede', 'j1-io', 'j2-europa', 'jupiter', 'new-horizons']",12384,0.85406256
4,"['completed', 'jet-propulsion-labo...']",12385,0.8748705
0,"['ladee', 'moon']",12386,0.42020607
4,"['active', 'ames-research-center']",12387,0.60684574
2,"['asteroid', 'support-archives']",12388,0.70819676
3,"['completed', 'glenn-research-center']",12389,0.890144
6,"['active', 'langley-research-ce...']",12390,0.41727644
7,"['ames', 'dashlink', 'nasa']",12391,0.82485324
4,"['completed', 'glenn-research-center']",12392,0.68587863
4,"['completed', 'marshall-space-flig...']",12393,0.8749314
0,"['mars', 'viking']",12394,0.43489227
5,"['active', 'university-of-calif...']",12395,0.8249775
2,"['calibration', 'earth', 'mercury', 'messenger', 'venus']",12396,0.7560628
4,"['active', 'jet-propulsion-labo...']",12397,0.31875455
6,"['c-garradd-2009-p1', 'epoxi']",12398,0.6665852
2,"['completed', 'jet-propulsion-labo...']",12399,0.47517648
4,"['active', 'glenn-research-center']",12400,0.4983343
6,"['completed', 'goddard-space-fligh...']",12401,0.6225285
0,"['ames', 'dashlink', 'nasa']",12402,0.335794
4,"['active', 'marshall-space-flig...']",12403,0.33829245
2,"['calibration', 'earth', 'lunar-crater-observ...', 'moon']",12404,0.69261336
3,"['ames', 'dashlink', 'nasa']",12405,0.6007897
4,"['completed', 'langley-research-ce...']",12406,0.451736
5,"['completed', 'marshall-space-flig...']",12407,0.78098595
2,"['akari', 'blast', 'bolocam', 'cosmic-microwaves', 'cosmos', 'denis', 'dust', 'ephemeris', 'imagery', 'instrument', 'iras', 'irts', 'iso', 'msx', 'planet', 'sds', 'space-science', 'spacecraft', 'spitzer', 'swas', 'test', 'usno']",12408,0.3808431
7,"['completed', 'goddard-space-fligh...']",12409,0.3666648
3,"['ames', 'dashlink', 'nasa']",12410,0.49965262
6,"['completed', 'university-of-vermont']",12411,0.37467423
4,"['completed', 'goddard-space-fligh...']",12412,0.8743112
5,"['ames', 'dashlink', 'nasa']",12413,0.52755606
2,"['ames-research-center', 'completed']",12414,0.7076498
1,"['aerosol', 'atmospheric-science', 'climate', 'cloud', 'eos', 'radiation', 'satellite']",12415,0.6692972
6,"['103p-hartley-2-1986-e2', '9p-tempel-1-1867-g1', 'c-garradd-2009-p1', 'c-ison-2012-s1', 'calibration', 'deep-impact', 'earth', 'epoxi', 'gj-436', 'hat-p-4', 'hat-p-7', 'mars', 'moa-2009-blg-266', 'moon', 'tres-2', 'tres-3', 'wasp-3', 'xo-2', 'xo-3']",12416,0.53126436
